,Tweets
0,13-inch MacBook Pro vs MacBook Air: Buy this or buy that? https://t.co/f0obIBEHIm
1,家用でimac導入してもありかもね？🤔🤔もしmacbookがもう使えなくなってたらmacbook air(13インチの上位モデル)に替えるのもありかも🤗今年発売されたやつとかmacbook pro(13インチの下位モデル)に匹敵す… https://t.co/7w6Kj2Dv60
2,"これを読むと以降もMBP 13″に外部GPU期待できない感じするな。。小さなものにこそギュッとハイエンドなスペック詰まってるの好きな人多いと思うけどなー。あとAirの方がGPU優位？というのは逆では…？
https://t.co/tCNxena5qj"
3,@jurijuripon Macbook Airでいいんじゃない
4,RT @janxntc: ช่องนี้คอนเท้นเร็วมาก แบบทับใจ ฮือ 😭 | [iMoD] เปรียบเทียบ MacBook Pro 13 นิ้วปี 2020 กับ MacBook Air 2020 อัปซี... https://t.c…
5,今ハマっているゲームをやるのに4年半前のMacBook Airくんではなかなか挙動が厳しくて悲しい。ほぼおもちゃとしての生涯しか送らせていないのに4年半で買い替えは悲しすぎるしなぁ
6,"RT @nn_endless: @SLNPHEATBECON ถ้าเป็น MacBook Air 2020 แนะนำ Core i5, SSD 256GB, Ram 8GB ก็พอจะทำงานได้ในเบื้องต้น ราคา 35,900 จบไม่จบขึ้น…"
7,"RT @Story_Chef: เปรียบเทียบสเปกความต่างระหว่าง MacBook Air 2020 และ MacBook Pro 13 นิ้วใหม่ 2020

Cr. iMoD https://t.co/oMMCemSL9p"
8,"Mac Book Air Charger, AC 45W Magsafe 2 T-Tip Power Adapter Charger Replacement for MacBook Air 11/13 inch (MacBook… https://t.co/Z6HRZupoke"
9,@hayamikun_ MacBook airにするかLogicProX付けてPro買うか迷ってる🤮
10,"Premium High quality #LaptopSkins - #Doberman #Puppy #Art for your Macbook Air, Macbook Pro, Macbook Pro Retina, an… https://t.co/Q2y9lyFFqE"
